Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;ERW041__Erwerbstaetige_aus_Hauptwohnsitzhaushalten__1000
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF011;Selbstständige ohne Beschäftigte;239
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF012;Selbstständige mit Beschäftigten;74
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF02;Mithelfende Familienangehörige;25
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF03;Beamte;20
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF04;Angestellte;2508
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF05;Arbeiter;420
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;STBERUF07;Auszubildende;1040
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR00500B01000;500 bis unter 1000 EUR;GES;Geschlecht;;Insgesamt;BERST5;Stellung im Beruf;;Insgesamt;4325
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01000B01250;1000 bis unter 1250 EUR;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF011;Selbstständige ohne Beschäftigte;95
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01000B01250;1000 bis unter 1250 EUR;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF012;Selbstständige mit Beschäftigten;40
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01000B01250;1000 bis unter 1250 EUR;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF02;Mithelfende Familienangehörige;/
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01000B01250;1000 bis unter 1250 EUR;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF03;Beamte;15
12211;Mikrozensus;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;EKMGK2;Größenklassen des persönl. monatl. Nettoeinkommens;EUR01000B01250;1000 bis unter 1250 EUR;GES;Geschlecht;GESM;männlich;BERST5;Stellung im Beruf;STBERUF04;Angestellte;526
